source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
www.thehimalayantimes.com,http://www.thehimalayantimes.com/fullNews.php?headline=7+killed++in+landslide+spree+in+far-west%E2%80%9A+3+injured+&NewsID=380458,4937,06/17/2013 12:00:00 AM,,"Siddheshwor-9, Baitadi, Western Region","Five members of a same family were killed in Siddheshwor-9, Baitadi after a landslide hit Ram Singh Eir's house.","Siddheshwor-9, Baitadi, Western Region",5km,landslide,rain,medium,unknown,5,,,,,test,4937,Nepal,NP,Far Western,47571,PithorÄgarh,26.1116,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,80.4687,29.5193
myrepublica,http://www.myrepublica.com/portal/index.php?action=news_details&news_id=24131,2571,10/08/2010 12:00:00 AM,,"Sandepani VDC, or Sukhkhad village(?) of Darakh VDC, Kailali district","KAILALI, Oct 8: Two girls were killed after being buried in a landslide at Sandepani in Kailai district on Friday.  Nirvik Rokaya, 18, and Navarata Raut, 17 were buried under the landslide while they were collecting red mud to paint their homes for the Dashain festival. Three other youths, who were injured in the incident, are receiving treatment at Kohalpur Medical College.","Sandepani VDC, or Sukhkhad village(?) of Darakh VDC, Kailali district",25km,landslide,downpour,medium,unknown,2,,,,,glc,2571,Nepal,NP,Far Western,44758,TÄ«kÄpur,27.18322,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,80.9787,28.7038
healthcarendiet,http://www.healthcarendiet.com/2010/07/06/monsoon-covers-almost-entire-india/,2041,07/06/2010 12:00:00 AM,,"highway to Rudraprayag district, Uttarakhand","North India today experienced heavy rains as south-west monsoon advanced into more parts of the region, including the national capital.  The monsoon, which hit parts of Rajasthan yesterday, further progressed to Delhi, Uttarakhand, Himachal Pradesh and the entire Punjab-Haryana region, which were all drenched by incessant rains, resulting in water-logging at several places. Over 10 people perished in rain-related incidents across the northern belt.  Monsoon rains also lashed Uttarakhand, triggering landslides that blocked highways leading to Uttarkashi and Rudraprayag districts. Landslides triggered by the downpour disrupted traffic along the state highway in Sirmaur district.","highway to Rudraprayag district, Uttarakhand",10km,landslide,downpour,medium,unknown,0,,,,,glc,2041,India,IN,Uttarakhand,20216,SrÄ«nagar,10.16977,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.8847,30.2485
Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987,150,07/30/2007 12:00:00 AM,,Chamoli,"Lambagarh and Makhari areas, Chamoli-Joshimuth Marg",Chamoli,50km,landslide,downpour,medium,unknown,,,,,,glc,150,India,IN,Uttarakhand,2000,PÄ«palkoti,8.34102,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,79.349,30.4
Asian News International - Daily India,http://www.dailyindia.com/show/164988.php/Landslides-leave-scores-of-passengers-stranded-in-Uttarakhand,173,08/11/2007 12:00:00 AM,,Rishikesh,closest to predicted location of Dharmpur (128.85 km),Rishikesh,unknown,landslide,rain,medium,unknown,,,,,,glc,173,India,IN,Uttarakhand,13058,Birbhaddar,2.00924,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.3027,30.0702
sify.com,http://sify.com/news/landslides-flash-floods-damage-roads-in-uttarakhand-news-national-kjxruecgidd.html,2471,09/19/2010 12:00:00 AM,,"roads above Pithoragarh, Uttranchal","Dehradun, Sep 23 (IANS) Widespread landslides and flash floods triggered by last week's torrential rains in Uttarakhand have cut off large parts of the Himalayan state and left hundreds of tourists and pilgrims stranded, including on the Mansarovar route.  The landslides and flash floods have claimed at least 68 lives since Sunday. Hundreds of tourists and pilgrims are stranded in different places including the Mansarovar route. 'Several Mansarovar tourists were halted in Pithoragarh and advised not to proceed further.","roads above Pithoragarh, Uttranchal",50km,landslide,downpour,medium,unknown,0,,,,,glc,2471,India,IN,Uttarakhand,47571,PithorÄgarh,27.28608,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,80.058,29.7911
indiascanner.com,http://indiascanner.com/65-died-in-flood-landslide-in-uttarakhand-15849,2453,09/19/2010 06:00:00 PM,,"near Chausali village(?), Almora district, Uttarakhand",At least 65 people died and 9 more lost in landslides and flash floods In Uttrakhand.  Uttarakhand is suffering heavy rainfall in the past two days and the rain has caused extensive destruction.   Kailash Mansarover Yatris have been abandoned in Chausali village in Almora district after heavy rain caused landslides.,"near Chausali village(?), Almora district, Uttarakhand",50km,landslide,downpour,medium,unknown,0,,,,,glc,2453,India,IN,Uttarakhand,19873,RÄnÄ«khet,6.70279,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,79.494,29.6131
Times of India,http://timesofindia.indiatimes.com/city/dehradun/Rains-trigger-landslides-on-Yamnotri-and-Gangotri-highways-traffic-disrupted/articleshow/48505014.cms,7309,08/15/2015 12:00:00 AM,,Malla,"Roads were blocked at Silai bend and Paal village on Yamnotri highway, and Gagnani, Nalupani and Malla on Gangotri highway. All the spots are chronic landslide zones. The logjams caused vehicles to be stranded for a few hours on both the highways on Saturday night.",Malla,1km,landslide,continuous_rain,medium,above_road,0,0,,,,glc,7309,India,IN,Uttarakhand,17123,UttarkÄshi,17.67532,12/14/2015 10:35:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.616,30.7864
The Times of India,http://timesofindia.indiatimes.com/City/Dehradun/Landslide-causes-4-hr-snarl-on-Doon-Mussoorie-road/articleshow/38693367.cms,6162,07/19/2014 05:00:00 AM,,"Mussoorie, Uttarakhand","Traffic on the main Dehradun-Mussoorie road came to a standstill for over four hours due to a landslide on early Saturday morning. The landslide occurred at Kolhukhet, 15km away from Mussoorie at around 5am. The site has witnessed landslides twice in the last four days.","Mussoorie, Uttarakhand",10km,landslide,rain,small,above_road,0,0,,,,glc,6162,India,IN,Uttarakhand,25753,Mussoorie,3.82134,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.0803,30.4305
www.thehindu.com,http://www.thehindu.com/news/national/other-states/heavy-rainfall-causes-landslides-in-kumaon/article4931537.ece,5139,07/19/2013 12:00:00 AM,,"Munsyari Area, Pithoragarh, Uttarakhand","Heavy rainfall continued to lash various parts of Uttarakhand, especially the Kumaun region, leading to landslides and rising water levels in several rivers. Separate cases of landslides in two villages in the Munsyari area of Pithoragarh district caused damage to six houses.","Munsyari Area, Pithoragarh, Uttarakhand",5km,landslide,downpour,medium,unknown,0,,,,,glc,5139,India,IN,Uttarakhand,7331,DhÄrchula,36.94258,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,80.2369,30.0718
